Home Team,Home Goals,Away Goals,Away Team,Winner,Datetime
BM 07,15,24,Kozala,A,10.3.24.
Split,22,32,Rovinj,A,10.3.24.
Hrvatski dragovoljac,23,13,Arena-Pula,H,10.3.24.
Ardiaei,28,31,Umag,A,09.3.24.
Buzet,30,33,Zamet,A,09.3.24.
Zadar 1954,27,25,Dubovac-Gaza,H,09.3.24.
Kozala,28,28,Split,D,03.3.24.
Buzet,26,23,Ardiaei,H,03.3.24.
Rovinj,29,30,Zadar 1954,A,02.3.24.
Umag,33,20,BM 07,H,02.3.24.
Zamet,39,30,Arena-Pula,H,02.3.24.
Dubovac-Gaza,27,22,Hrvatski dragovoljac,H,02.3.24.
Hrvatski dragovoljac,16,25,Rovinj,A,25.2.24.
Split,28,27,Umag,H,25.2.24.
Arena-Pula,22,27,Dubovac-Gaza,A,24.2.24.
Zadar 1954,34,26,Kozala,H,24.2.24.
Ardiaei,27,24,Zamet,H,24.2.24.
BM 07,24,34,Buzet,A,24.2.24.
Kozala,23,17,Hrvatski dragovoljac,H,18.2.24.
Ardiaei,32,23,BM 07,H,18.2.24.
Zamet,34,22,Dubovac-Gaza,H,18.2.24.
Rovinj,31,24,Arena-Pula,H,17.2.24.
Umag,29,26,Zadar 1954,H,17.2.24.
Buzet,26,27,Split,A,17.2.24.
BM 07,24,30,Zamet,A,10.12.23.
Kozala,34,28,Arena-Pula,H,09.12.23.
Rovinj,29,25,Dubovac-Gaza,H,09.12.23.
Buzet,28,27,Zadar 1954,H,09.12.23.
Ardiaei,28,32,Split,A,09.12.23.
Umag,29,20,Hrvatski dragovoljac,H,09.12.23.
Zamet,32,28,Rovinj,H,03.12.23.
Hrvatski dragovoljac,21,25,Buzet,A,03.12.23.
Arena-Pula,30,36,Umag,A,02.12.23.
Zadar 1954,28,21,Ardiaei,H,02.12.23.
Dubovac-Gaza,31,26,Kozala,H,02.12.23.
Split,28,21,BM 07,H,02.12.23.
Kozala,27,27,Rovinj,D,26.11.23.
BM 07,32,32,Zadar 1954,D,26.11.23.
Split,29,38,Zamet,A,25.11.23.
Buzet,32,28,Arena-Pula,H,25.11.23.
Umag,28,25,Dubovac-Gaza,H,25.11.23.
Ardiaei,26,13,Hrvatski dragovoljac,H,25.11.23.
Arena-Pula,32,39,Ardiaei,A,18.11.23.
Rovinj,30,32,Umag,A,18.11.23.
Zadar 1954,40,27,Split,H,18.11.23.
Zamet,33,20,Kozala,H,18.11.23.
Dubovac-Gaza,20,31,Buzet,A,18.11.23.
Hrvatski dragovoljac,20,19,BM 07,H,18.11.23.
Split,26,26,Hrvatski dragovoljac,D,12.11.23.
Umag,31,23,Kozala,H,12.11.23.
BM 07,21,21,Arena-Pula,D,12.11.23.
Zadar 1954,28,28,Zamet,D,11.11.23.
Buzet,27,25,Rovinj,H,11.11.23.
Ardiaei,31,30,Dubovac-Gaza,H,11.11.23.
Zamet,30,26,Umag,H,08.11.23.
Arena-Pula,26,29,Split,A,05.11.23.
Kozala,23,27,Buzet,A,05.11.23.
Hrvatski dragovoljac,20,28,Zadar 1954,A,05.11.23.
Rovinj,25,21,Ardiaei,H,04.11.23.
Dubovac-Gaza,23,20,BM 07,H,04.11.23.
BM 07,29,33,Rovinj,A,29.10.23.
Buzet,26,28,Umag,A,29.10.23.
Split,23,25,Dubovac-Gaza,A,29.10.23.
Hrvatski dragovoljac,21,23,Zamet,A,29.10.23.
Ardiaei,27,25,Kozala,H,28.10.23.
Zadar 1954,24,23,Arena-Pula,H,28.10.23.
Arena-Pula,20,21,Hrvatski dragovoljac,A,22.10.23.
Rovinj,29,27,Split,H,21.10.23.
Umag,36,23,Ardiaei,H,21.10.23.
Kozala,25,31,BM 07,A,21.10.23.
Zamet,33,26,Buzet,H,21.10.23.
Dubovac-Gaza,34,21,Zadar 1954,H,21.10.23.
Split,26,24,Kozala,H,15.10.23.
BM 07,20,30,Umag,A,15.10.23.
Ardiaei,30,28,Buzet,H,15.10.23.
Hrvatski dragovoljac,20,21,Dubovac-Gaza,A,14.10.23.
Arena-Pula,24,34,Zamet,A,14.10.23.
Zadar 1954,30,24,Rovinj,H,14.10.23.
Kozala,23,27,Zadar 1954,A,08.10.23.
Dubovac-Gaza,25,22,Arena-Pula,H,08.10.23.
Zamet,32,24,Ardiaei,H,08.10.23.
Rovinj,27,20,Hrvatski dragovoljac,H,07.10.23.
Umag,40,23,Split,H,07.10.23.
Buzet,31,26,BM 07,H,07.10.23.
Split,31,35,Buzet,A,10.2.24.
BM 07,22,32,Ardiaei,A,01.10.23.
Hrvatski dragovoljac,26,16,Kozala,H,30.9.23.
Arena-Pula,26,31,Rovinj,A,30.9.23.
Zadar 1954,29,28,Umag,H,30.9.23.
Dubovac-Gaza,16,19,Zamet,A,30.9.23.
